xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
-39.41907489,2.172236222,-26.85802326,-75.49380246,-19.9838265,312.1082862
-75.49380246,-19.9838265,312.1082862,14,-16,5.18365548
14,-16,5.18365548,-2.746314566,1.500000013,-2.555103844
-2.746314566,1.500000013,-2.555103844,0.560574311,-0.34317376,0.100449096
0.560574311,-0.34317376,0.100449096,-0.114013192,0.077745544,-0.022979302
-0.114013192,0.077745544,-0.022979302,0.023123313,-0.017483382,0.005196372
0.023123313,-0.017483382,0.005196372,-0.004779249,0.003994884,-0.001118817
-0.004779249,0.003994884,-0.001118817,-61,-85,-4.23673241
-61,-85,-4.23673241,13.89510123,1.500000014,-16.88293846
13.89510123,1.500000014,-16.88293846,-2.938398733,-0.153983943,0.100481579
-2.938398733,-0.153983943,0.100481579,0.619577685,-0.001381755,-0.010317074
0.619577685,-0.001381755,-0.010317074,-0.130395968,0.007338689,-9.13E-05
-0.130395968,0.007338689,-9.13E-05,0.02800205,-0.003082048,0.000469626
0.02800205,-0.003082048,0.000469626,84,80,39.89632753
84,80,39.89632753,-19.80855801,-20.76455742,2.013985341
-19.80855801,-20.76455742,2.013985341,2.479700304,0.077939992,0.699626538
2.479700304,0.077939992,0.699626538,-0.035903927,0.005835484,0.340788499
-0.035903927,0.005835484,0.340788499,0.072632281,0.014295052,0.955421336
0.072632281,0.014295052,0.955421336,0.540248267,0.028738423,1.606806848
0.540248267,0.028738423,1.606806848,-70,33,-32.93977664
-70,33,-32.93977664,12.17339347,-4.489291119,13.45639904
12.17339347,-4.489291119,13.45639904,-1.035160663,0.036520628,0.45008195
-1.035160663,0.036520628,0.45008195,0.052262193,-0.012894302,-0.220639355
0.052262193,-0.012894302,-0.220639355,0.879559716,0.010494468,0.827581513
0.879559716,0.010494468,0.827581513,0.347781787,0.03391678,1.715580243
0.347781787,0.03391678,1.715580243,-46,-83,-3.256678743
-46,-83,-3.256678743,10.71659539,1.500000014,-16.56528622
10.71659539,1.500000014,-16.56528622,-2.270095846,-0.190119147,0.100475374
-2.270095846,-0.190119147,0.100475374,0.47946203,0.013731537,-0.012735556
0.47946203,0.013731537,-0.012735556,-0.101073828,0.00259768,0.000918608
-0.101073828,0.00259768,0.000918608,0.021740831,-0.001730356,0.000166234
0.021740831,-0.001730356,0.000166234,-89,3,-40.91226553
-89,3,-40.91226553,-12.71044693,-101.8753988,-28.51081318
-12.71044693,-101.8753988,-28.51081318,45.09870464,-56.41888045,-71.38969768
45.09870464,-56.41888045,-71.38969768,6.004887676,-158.5642689,21.03548985
6.004887676,-158.5642689,21.03548985,46.5026806,-223.1599783,27.47071885
46.5026806,-223.1599783,27.47071885,7.045827246,-200.5816589,476.9981811
7.045827246,-200.5816589,476.9981811,-80,9,-32.68768319
-80,9,-32.68768319,16.69234992,-3.396913439,0.688958822
16.69234992,-3.396913439,0.688958822,-3.475925481,0.782462064,-0.222224245
-3.475925481,0.782462064,-0.222224245,0.721349734,-0.225892163,0.04969368
0.721349734,-0.225892163,0.04969368,-0.149612103,0.04453725,-0.016759977
-0.149612103,0.04453725,-0.016759977,0.031554641,-0.017870702,0.001508666
0.031554641,-0.017870702,0.001508666,-42,67,-20.28764767
-42,67,-20.28764767,3.543818395,-10.52883113,5.348117369
3.543818395,-10.52883113,5.348117369,0.394151488,0.078688854,0.713907217
0.394151488,0.078688854,0.713907217,1.387412895,0.011054759,1.532603184
1.387412895,0.011054759,1.532603184,1.136839068,0.026534584,1.496029332
1.136839068,0.026534584,1.496029332,1.34639165,0.04264073,0.801789046
1.34639165,0.04264073,0.801789046,-100,31,-44.21395167
-100,31,-44.21395167,20.12525253,-8.098771907,3.533393216
20.12525253,-8.098771907,3.533393216,-1.657527209,0.137205199,1.388908615
-1.657527209,0.137205199,1.388908615,0.396922573,0.028681682,2.346397898
0.396922573,0.028681682,2.346397898,-0.390954201,-0.005959286,-0.017424537
-0.390954201,-0.005959286,-0.017424537,1.206510202,-0.12512838,-2.829303702
