,t,xi1,xi2,ui,xf1,xf2,uf
20,0.5,3.989151252,-1.8428015,1.983631938,3.824623834,-1.454222096,2.240519869
24,0.6,3.824623834,-1.454222096,2.240519869,3.698203968,-1.080404484,2.473977459
28,0.7,3.698203968,-1.080404484,2.473977459,3.608329984,-0.723030435,2.675000646
32,0.8,3.608329984,-0.723030435,2.675000646,3.552405019,-0.400837841,2.662676292
36,0.9,3.552405019,-0.400837841,2.662676292,3.521678903,-0.216752076,1.533596488
40,1,3.521678903,-0.216752076,1.533596488,-0.419274542,-17.51849411,0
0,0,-0.419274542,-17.51849411,0,-1.989631313,-13.94813732,20
4,0.1,-1.989631313,-13.94813732,20,-3.220223713,-10.71754491,20
8,0.2,-3.220223713,-10.71754491,20,-4.143384597,-7.794384004,20
12,0.3,-4.143384597,-7.794384004,20,-4.788369942,-5.149398643,20
16,0.4,-4.788369942,-5.149398643,20,-5.181651651,-2.756116921,20
20,0.5,-5.181651651,-2.756116921,20,-5.347182493,-0.590586083,19.99999996
24,0.6,-5.347182493,-0.590586083,19.99999996,-5.385550638,-0.183559464,3.68658474
28,0.7,-5.385550638,-0.183559464,3.68658474,-5.386061161,0.167498999,3.505479398
32,0.8,-5.386061161,0.167498999,3.505479398,-5.357175129,0.406243243,2.676302772
36,0.9,-5.357175129,0.406243243,2.676302772,-5.324328678,0.253235465,-1.201613284
40,1,-5.324328678,0.253235465,-1.201613284,2.663123056,-2.701326757,0
0,0,2.663123056,-2.701326757,0,2.434487579,-1.884986205,5.877050736
4,0.1,2.434487579,-1.884986205,5.877050736,2.26387723,-1.533084808,1.812910489
8,0.2,2.26387723,-1.533084808,1.812910489,2.122949687,-1.289524722,1.026325428
12,0.3,2.122949687,-1.289524722,1.026325428,2.004735181,-1.078285451,0.930247656
16,0.4,2.004735181,-1.078285451,0.930247656,1.906888803,-0.881914417,0.985246559
20,0.5,1.906888803,-0.881914417,0.985246559,1.828181687,-0.695337003,1.078702978
24,0.6,1.828181687,-0.695337003,1.078702978,1.767739962,-0.516477995,1.184172829
28,0.7,1.767739962,-0.516477995,1.184172829,1.724777561,-0.345617221,1.278983738
32,0.8,1.724777561,-0.345617221,1.278983738,1.698044923,-0.191602036,1.272825459
36,0.9,1.698044923,-0.191602036,1.272825459,1.683357738,-0.103607983,0.73306869
40,1,1.683357738,-0.103607983,0.73306869,-2.428244917,-6.724670962,0
0,0,-2.428244917,-6.724670962,0,-2.971433607,-4.181482257,20
4,0.1,-2.971433607,-4.181482257,20,-3.272605894,-1.880309962,20
8,0.2,-3.272605894,-1.880309962,20,-3.374829858,-0.192298167,15.8578783
12,0.3,-3.374829858,-0.192298167,15.8578783,-3.406758472,-0.442111251,-2.817416974
16,0.4,-3.406758472,-0.442111251,-2.817416974,-3.454585714,-0.513248168,-1.189641587
