,t,x1,x2,u,ctg
10,1,0.362079794,-0.170286522,-19.19625488,20.02580284
0,0,0,-1,-0.48259164,424.1697387
1,0.1,-0.156817347,-2.117721357,-12.74538705,414.158094
2,0.2,-0.370681584,-2.158877565,-2.550204452,360.9424952
3,0.3,-0.509328505,-0.639381561,13.80849084,312.6357462
4,0.4,-0.647582045,-2.101327528,-16.00199506,296.4197822
5,0.5,-0.885802932,-2.653882496,-7.907758558,235.2671911
6,0.6,-1.09039762,-1.457940327,9.91347481,153.8631674
7,0.7,-1.149035129,0.256618929,16.55921747,115.8037486
8,0.8,-1.111638503,0.487466763,2.682444607,88.23201445
9,0.9,-1.158786478,-1.398990542,-19.3360528,73.13859892
10,1,-1.243658442,-0.31648744,9.976311386,21.44484563
0,0,0,-1,-0.492473469,303.3193677
1,0.1,-0.056315929,-0.140638871,8.030452009,293.3072412
2,0.2,-0.110860576,-0.936983869,-8.508896453,289.8533254
3,0.3,-0.11091742,0.90514988,18.42076905,277.3309711
4,0.4,0.039906284,2.091554072,13.37227895,252.0487447
5,0.5,0.149249674,0.128033621,-18.54177061,199.345943
6,0.6,0.204815811,0.969270834,8.968033494,181.7693994
7,0.7,0.242691597,-0.192397196,-11.23792244,167.9337635
8,0.8,0.319697865,1.700971657,19.70375121,160.6600595
9,0.9,0.495805326,1.819207297,2.943431007,111.2930559
10,1,0.715416681,2.560664246,9.610683043,75.30648551
0,0,0,-1,-0.491171007,537.3439751
1,0.1,-0.114258542,-1.280496669,-3.947552109,527.3319127
2,0.2,-0.231211518,-1.062200526,1.013431667,510.0254869
3,0.3,-0.246209701,0.732332966,17.7953531,498.1568475
4,0.4,-0.147460903,1.234278632,6.006944638,476.35381
5,0.5,-0.064270273,0.442724332,-7.083636703,459.0977562
6,0.6,-0.112109762,-1.369318421,-18.59882242,454.5875058
7,0.7,-0.25916956,-1.568557453,-3.462988301,418.4156806
8,0.8,-0.492957383,-3.081979509,-17.47209879,392.5406528
9,0.9,-0.836578046,-3.778821653,-10.40462808,279.8608943
10,1,-1.191280497,-3.322826012,1.012931913,124.6545208
0,0,0,-1,-0.486377529,376.0141683
1,0.1,-0.090220938,-0.807624477,1.021545855,366.0023402
2,0.2,-0.190330139,-1.188217392,-4.807021165,359.3461912
3,0.3,-0.292037251,-0.851535283,2.349749969,343.7099573
4,0.4,-0.321536398,0.243307988,10.65344124,335.3299101
5,0.5,-0.366738369,-1.124553515,-14.13063474,328.0292753
6,0.6,-0.541015447,-2.340721936,-13.90445498,304.0543569
7,0.7,-0.829710881,-3.415280433,-13.63253932,236.6708946
8,0.8,-1.061685082,-1.260116985,19.23189247,103.8529823
9,0.9,-1.173757146,-0.985893914,1.62151007,58.20899762
10,1,-1.288575463,-1.305152332,-4.340767346,34.58060639
