,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2655,2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,2655.0,5.0,,,,,,0.5,356.8542,345.4656,336.286,328.9073,323.0235,318.4058,314.8847,312.3382,310.6824,309.8653,309.8635,310.6796,312.343,314.9114,318.4745,323.1598,329.1416,336.6526,346.0017,357.5999,372.0,372.0,707.2714,66.43970000000002,472.9873000000001,14.835699999999974
2656,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0,2656.0,6.0,,,,,,0.6,357.3963,345.6008,336.068,328.3931,322.2715,317.4724,313.8217,311.1906,309.4877,308.6546,308.6627,309.5115,311.2287,313.8718,317.5307,322.3331,328.4524,336.119,345.6382,357.416,173.0,205.3333333333333,773.7111,90.7781,406.5476000000001,14.835699999999974
2657,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,2657.0,7.0,,,,,,0.7,199.0154,222.7602,243.4214,260.5359,274.0171,284.1025,291.2496,296.0139,298.9347,300.445,300.8116,300.1076,298.2137,294.8475,289.6195,282.1121,271.9752,259.0248,243.3237,225.2212,472.0,473.0,864.4892,213.0908,315.7695000000001,14.835699999999974
2658,2658.0,2658.0,2658.0,2658.0,2658.0,2658.0,2658.0,2658.0,2658.0,2658.0,8.0,,,,,,0.8,427.5903,391.6781,362.7342,339.8991,322.5157,309.9009,301.2857,295.8638,292.8916,291.7949,292.2505,294.2292,297.9946,304.0602,313.1105,325.9052,343.1912,365.6661,394.043,429.2736,327.5454545454545,472.0,1077.58,70.09260000000017,102.67870000000016,14.835699999999974
2659,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,2659.0,9.0,,,,,,0.9,323.2516,319.9189,317.0703,314.3932,311.7571,309.2022,306.9041,305.1257,304.1708,304.347,305.9442,309.2283,314.4469,321.845,331.6879,344.2924,360.0736,379.6131,403.7704,433.8651,207.3636363636364,458.8787878787879,1147.6726,32.58609999999999,32.58609999999999,14.835699999999974
2660,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0,0.0,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,473.0,0.0,351.7936,1149.8621,14.850000000000025
2661,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,2661.0,1.0,,,,,,0.1,427.797,391.8849,362.5558,338.8482,320.11,305.7721,295.2632,288.0148,283.5147,281.3745,281.3851,283.5485,288.0773,295.364,305.9242,320.3299,339.1562,362.9762,392.4485,428.5462,472.0,473.0,351.7936,134.66469999999998,798.0685000000001,14.850000000000025
2662,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,2662.0,2.0,,,,,,0.2,433.2036,402.4303,377.5843,357.3702,340.9681,327.85,317.6714,310.2064,305.3089,302.891,302.9117,305.372,310.3149,317.8303,328.0665,341.2523,357.7359,378.0507,403.025,433.9682,372.0,373.0,486.4583,85.46230000000003,663.4038,14.850000000000025
2663,2663.0,2663.0,2663.0,2663.0,2663.0,2663.0,2663.0,2663.0,2663.0,2663.0,3.0,,,,,,0.3,359.484,349.5488,341.4516,334.6666,328.8698,323.9118,319.7781,316.5399,314.304,313.1687,313.192,314.3747,316.6611,319.9549,324.152,329.184,335.069,341.9605,350.1878,360.2834,372.0,371.0,571.9206,66.48259999999993,577.9415,14.850000000000025
2664,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,2664.0,4.0,,,,,,0.4,357.9332,346.6539,337.5946,330.332,324.5499,320.0143,316.5554,314.0535,312.4284,311.6304,311.635,312.4391,314.0611,316.5444,319.9633,324.4316,330.1145,337.2421,346.128,357.1928,371.0,371.0,638.4032,65.72649999999999,511.4589000000001,14.850000000000025
2665,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,2665.0,5.0,,,,,,0.5,356.7945,345.3512,336.1266,328.7155,322.8126,318.1879,314.6687,312.1288,310.4796,309.6649,309.6575,310.4579,312.094,314.6229,318.1344,322.7558,328.6606,336.0793,345.3165,356.7762,371.0,372.0,704.1297,66.6508,445.7324000000001,14.850000000000025
