,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,373.0,374.0,0.0,368.4123,2084.7479000000003,-40.0
1,,,,,,,,,,,,,0.1,355.9583,339.6961,324.8875,312.0205,301.3582,292.9459,286.6577,282.2667,279.5214,278.2135,278.2272,279.5651,282.3477,286.7882,293.1423,301.6403,312.41,325.406,340.3629,356.7878,373.0,265.3076923076923,368.4123,180.24099999999993,1716.3356,-20.054100000000005
2,,,,,,,,,,,,,0.2,361.0752,349.4587,338.4423,328.2859,319.2052,311.3633,304.8635,299.745,295.978,293.4579,291.9995,291.3344,291.1152,290.9335,290.3555,288.976,286.4828,282.7211,277.7374,271.7888,229.4102564102564,273.56410256410254,548.6533,191.14650000000006,1536.0946000000001,-1.636700000000019
3,,,,,,,,,,,,,0.3,244.5174,258.6837,271.1118,281.2568,288.8773,294.0244,296.9779,298.1557,298.0194,296.9976,295.4374,293.5852,291.5913,289.5292,287.4214,285.2637,283.0442,280.7559,278.402,275.997,173.0,374.0,739.7998,227.61720000000003,1344.9481,-18.975599999999986
4,,,,,,,,,,,,,0.4,192.0577,210.3807,227.3182,242.3706,255.2298,265.7889,274.1261,280.4716,285.1709,288.6512,291.3962,293.9276,296.7869,300.5111,305.5953,312.4411,321.2969,332.202,344.9517,359.0989,373.0,259.1794871794872,967.417,211.05689999999993,1117.3309,-47.21109999999999
5,,,,,,,,,,,,,0.5,353.0244,334.3241,317.9819,304.7428,294.944,288.5297,285.1309,284.1798,285.0227,287.0067,289.528,292.0459,294.0751,295.1764,294.9609,293.1145,289.4435,283.9247,276.744,268.3024,186.3846153846154,345.35897435897436,1178.4739,189.92430000000013,906.2739999999999,-24.47030000000001
6,,,,,,,,,,,,,0.6,205.8962,224.3519,240.8616,254.826,265.9935,274.4425,280.5076,284.6757,287.4869,289.4594,291.0512,292.6529,294.6001,297.1891,300.6814,305.2905,311.152,318.2863,326.5697,335.7276,372.0,243.7948717948718,1368.3982,203.96319999999992,716.3496999999998,-38.557500000000005
7,,,,,,,,,,,,,0.7,353.6319,336.3901,321.2293,308.8024,299.3992,292.96,289.1476,287.4485,287.2732,288.0322,289.1771,290.2125,290.69,290.2019,288.3871,284.9576,279.7413,272.7296,264.1121,254.2807,202.76923076923077,373.0,1572.3614,204.9081000000001,512.3864999999998,-20.04000000000002
8,,,,,,,,,,,,,0.8,219.9811,236.2201,250.665,262.7608,272.2714,279.2662,284.0554,287.101,288.931,290.0782,291.0503,292.3267,294.3676,297.618,302.4933,309.3382,318.3663,329.5948,342.7972,357.495,372.0,270.43589743589746,1777.2695,156.30939999999987,307.47839999999974,-33.733799999999974
9,,,,,,,,,,,,,0.9,354.638,338.3087,323.8902,311.9891,302.8858,296.5485,292.6986,290.9038,290.6671,291.4935,292.9244,294.5433,295.9656,296.8292,296.7979,295.5853,292.9971,288.9783,283.6498,277.3161,174.0,374.0,1933.5789,151.16899999999987,151.16899999999987,-16.45150000000001
