,,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
224,2,-0.372629992,0.210855887,-0.091522504,0.075256895,-0.071752081,0.011395485
225,3,0.075256895,-0.071752081,0.011395485,-0.0153538,0.00509602,-0.006456537
226,4,-0.0153538,0.00509602,-0.006456537,0.003090451,-0.007902779,-0.001015463
227,5,0.003090451,-0.007902779,-0.001015463,-8,-8,-4
228,0,-8,-8,-4,1.773484632,1.499999962,-0.605222783
229,1,1.773484632,1.499999962,-0.605222783,-0.389744805,-0.291789901,0.100457915
230,2,-0.389744805,-0.291789901,0.100457915,0.085229679,0.056254612,-0.019540247
231,3,0.085229679,0.056254612,-0.019540247,-0.018572437,-0.010741721,0.003760231
232,4,-0.018572437,-0.010741721,0.003760231,0.004124134,0.002072793,-0.000687397
233,5,0.004124134,0.002072793,-0.000687397,-10,1,-5
234,0,-10,1,-5,2.087646907,-0.389751912,0.088879418
235,1,2.087646907,-0.389751912,0.088879418,-0.434562109,0.104789564,-0.026097469
236,2,-0.434562109,0.104789564,-0.026097469,0.090196186,-0.026734417,0.007016321
237,3,0.090196186,-0.026734417,0.007016321,-0.018684118,0.006592312,-0.001786797
238,4,-0.018684118,0.006592312,-0.001786797,0.003948522,-0.001622342,0.000421863
239,5,0.003948522,-0.001622342,0.000421863,-9,3,-3.922354822
240,0,-9,3,-3.922354822,1.841746752,-1.247522661,0.170168308
241,1,1.841746752,-1.247522661,0.170168308,-0.377785701,0.165163389,-0.0766794
242,2,-0.377785701,0.165163389,-0.0766794,0.076854539,-0.062309129,0.008333999
243,3,0.076854539,-0.062309129,0.008333999,-0.015796334,0.003148177,-0.00582526
244,4,-0.015796334,0.003148177,-0.00582526,0.003208198,-0.00749298,-0.00114011
245,5,0.003208198,-0.00749298,-0.00114011,4,5,1.839727124
246,0,4,5,1.839727124,-0.916976443,-1.548477786,0.334135272
247,1,-0.916976443,-1.548477786,0.334135272,0.205659413,0.196715249,-0.097002034
248,2,0.205659413,0.196715249,-0.097002034,-0.046179005,-0.062240621,0.010448401
249,3,-0.046179005,-0.062240621,0.010448401,0.010099563,0.001732753,-0.005820732
250,4,0.010099563,0.001732753,-0.005820732,-0.002353352,-0.006890664,-0.001230643
251,5,-0.002353352,-0.006890664,-0.001230643,-3,8,-1.434326328
252,0,-3,8,-1.434326328,0.516019002,-2.307365212,0.588320312
253,1,0.516019002,-2.307365212,0.588320312,-0.087057477,0.371460701,-0.148344172
254,2,-0.087057477,0.371460701,-0.148344172,0.013405277,-0.101904544,0.022156515
255,3,0.013405277,-0.101904544,0.022156515,-0.001995773,0.010669245,-0.008472288
256,4,-0.001995773,0.010669245,-0.008472288,0.000149007,-0.008934971,-0.000658793
257,5,0.000149007,-0.008934971,-0.000658793,-3,0,-1.5
258,0,-3,0,-1.5,0.627627315,-0.092253396,0.018718871
259,1,0.627627315,-0.092253396,0.018718871,-0.130926228,0.026321003,-0.006176951
260,2,-0.130926228,0.026321003,-0.006176951,0.027233596,-0.006962681,0.001762315
261,3,0.027233596,-0.006962681,0.001762315,-0.005653915,0.001759491,-0.000465345
262,4,-0.005653915,0.001759491,-0.000465345,0.001197555,-0.000440771,0.000112595
263,5,0.001197555,-0.000440771,0.000112595,-3,5,-1.39116412
264,0,-3,5,-1.39116412,0.554760115,-1.624341127,0.33724431
265,1,0.554760115,-1.624341127,0.33724431,-0.102927276,0.229257567,-0.102149882
266,2,-0.102927276,0.229257567,-0.102149882,0.018340339,-0.072515281,0.012628699
267,3,0.018340339,-0.072515281,0.012628699,-0.003365268,0.00460598,-0.006507526
268,4,-0.003365268,0.00460598,-0.006507526,0.000513756,-0.007659684,-0.001046771
269,5,0.000513756,-0.007659684,-0.001046771,7,3,3.300675469
270,0,7,3,3.300675469,-1.522210899,-1.077153863,0.160880058
271,1,-1.522210899,-1.077153863,0.160880058,0.327583512,0.09141165,-0.065118516
272,2,0.327583512,0.09141165,-0.065118516,-0.070632003,-0.038954916,0.003392643
273,3,-0.070632003,-0.038954916,0.003392643,0.014984556,-0.003392096,-0.00426421
274,4,0.014984556,-0.003392096,-0.00426421,-0.003346496,-0.005740926,-0.001558668
275,5,-0.003346496,-0.005740926,-0.001558668,7,-8,3.5
276,0,7,-8,3.5,-1.379700581,1.499999963,-0.718308498
277,1,-1.379700581,1.499999963,-0.718308498,0.273234246,-0.327637246,0.10045176
278,2,0.273234246,-0.327637246,0.10045176,-0.053769787,0.071247508,-0.021939464
279,3,-0.053769787,0.071247508,-0.021939464,0.010516117,-0.015444962,0.004762138
280,4,0.010516117,-0.015444962,0.004762138,-0.002087207,0.003413718,-0.000988372
281,5,-0.002087207,0.003413718,-0.000988372,9,-4,4.5
282,0,9,-4,4.5,-1.848346719,0.915847844,-0.261956117
283,1,-1.848346719,0.915847844,-0.261956117,0.37833519,-0.211480167,0.06133039
284,2,0.37833519,-0.211480167,0.06133039,-0.07717447,0.048284383,-0.014160888
285,3,-0.07717447,0.048284383,-0.014160888,0.015700794,-0.010930615,0.003227231
286,4,0.015700794,-0.010930615,0.003227231,-0.003255958,0.002512088,-0.000699485
287,5,-0.003255958,0.002512088,-0.000699485,9,7,4.272151219
288,0,9,7,4.272151219,-1.993986149,-1.945386387,0.500733987
289,1,-1.993986149,-1.945386387,0.500733987,0.436595938,0.267391901,-0.123834056
290,2,0.436595938,0.267391901,-0.123834056,-0.095531711,-0.074311225,0.015183792
291,3,-0.095531711,-0.074311225,0.015183792,0.020623361,0.003685146,-0.006627809
292,4,0.020623361,0.003685146,-0.006627809,-0.004642581,-0.007183361,-0.001105753
293,5,-0.004642581,-0.007183361,-0.001105753,-7,1,-3.5
294,0,-7,1,-3.5,1.456877345,-0.355647013,0.088885563
295,1,1.456877345,-0.355647013,0.088885563,-0.302321714,0.090525862,-0.023814708
296,2,-0.302321714,0.090525862,-0.023814708,0.062550756,-0.02226444,0.006061417
297,3,0.062550756,-0.02226444,0.006061417,-0.012915473,0.005347091,-0.001488066
298,4,-0.012915473,0.005347091,-0.001488066,0.002720331,-0.001289825,0.000342177
