,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
127,127,127.0,127.0,,,,,,,,,,,,,,0.7,-0.7409734887,-0.2557757028,-16.400856134038435,2.2958688733,0.3225911721000001,0.7544665258000003,0.3921531994
128,128,128.0,128.0,,,,,,,,,,,,,,0.8,-0.8446514654,-1.7921833395,10.62223537359207,2.6184600454,0.2937176664000001,0.4318753537000002,0.3921531994
129,129,129.0,129.0,,,,,,,,,,,,,,0.9,-0.9638160572,-0.6107952103,-0.8593305100303643,2.9121777118,0.1381576873000001,0.1381576873000001,0.3921531994
130,130,130.0,130.0,,,,,,,,,,,,,,0.0,0.0,-1.0,7.951950814201088,0.0,0.0699606723,2.5971831168000006,0.2861035507
131,131,131.0,131.0,,,,,,,,,,,,,,0.1,-0.0566956714,-0.1481092471,-20.102972782788203,0.0699606723,0.3571189463999999,2.5272224445000004,0.2861035507
132,132,132.0,132.0,,,,,,,,,,,,,,0.2,-0.1680366136,-2.0470655833,18.09852588193037,0.4270796187,0.3151832415,2.1701034981000005,0.2861035507
133,133,133.0,133.0,,,,,,,,,,,,,,0.3,-0.2752905285,-0.1299590802,-19.52198204013117,0.7422628602,0.3429156996000001,1.8549202566000005,0.2861035507
134,134,134.0,134.0,,,,,,,,,,,,,,0.4,-0.3820937529,-1.9753540598,16.534627117112564,1.0851785598,0.2995970703999999,1.512004557,0.2861035507
135,135,135.0,135.0,,,,,,,,,,,,,,0.5,-0.4900886517,-0.2138964493,-18.418747514395097,1.3847756302,0.3426677257999999,1.2124074866,0.2861035507
136,136,136.0,136.0,,,,,,,,,,,,,,0.6,-0.5995427582,-1.9463170942,15.353606610026771,1.727443356,0.3083609915,0.8697397608000002,0.2861035507
137,137,137.0,137.0,,,,,,,,,,,,,,0.7,-0.7104875177,-0.3000116737,-12.953887194549374,2.0358043475,0.2349138011999998,0.5613787693000001,0.2861035507
138,138,138.0,138.0,,,,,,,,,,,,,,0.8,-0.8017007733,-1.5041871375,10.306044024662782,2.2707181487,0.2242964779000003,0.3264649681000002,0.2861035507
139,139,139.0,139.0,,,,,,,,,,,,,,0.9,-0.8949884495,-0.3802950589,-1.193513111483117,2.4950146266,0.1021684901999999,0.1021684901999999,0.2861035507
140,140,140.0,140.0,,,,,,,,,,,,,,0.0,0.0,-1.0,8.50528865728439,0.0,0.0723123226,2.7977999480000006,0.4245964804
141,141,141.0,141.0,,,,,,,,,,,,,,0.1,-0.054018945,-0.0954521893,-20.49283702846165,0.0723123226,0.3594274336999999,2.7254876254000004,0.4245964804
142,142,142.0,142.0,,,,,,,,,,,,,,0.2,-0.1622348369,-2.0365200002,18.37909014716164,0.4317397563,0.3157974209,2.3660601917000004,0.4245964804
143,143,143.0,143.0,,,,,,,,,,,,,,0.3,-0.2671280002,-0.0937178222,-20.839608060319943,0.7475371772,0.3794639017,2.0502627708000003,0.4245964804
144,144,144.0,144.0,,,,,,,,,,,,,,0.4,-0.3768563121,-2.0679503163,18.8703926865821,1.1270010789,0.3424528743999999,1.6707988691000002,0.4245964804
145,145,145.0,145.0,,,,,,,,,,,,,,0.5,-0.4823638402,-0.0754035196,-20.480547585736776,1.4694539533,0.3810998462000001,1.3283459947000005,0.4245964804
